"id","url","notes","scientific_name","common_name","description","user_login","observed_on","license","family_name","adm0_a3","continent"
98031412,"https://www.inaturalist.org/observations/98031412","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
98967454,"https://www.inaturalist.org/observations/98967454","All rights reserved license",NA,NA,NA,NA,NA,NA,"","USA","North America"
99554525,"https://www.inaturalist.org/observations/99554525","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
99815079,"https://www.inaturalist.org/observations/99815079","lying on windowsill, strike heard; flew away unobserved later. All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","PRT","Europe"
133703699,"https://www.inaturalist.org/observations/133703699","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
137547305,"https://www.inaturalist.org/observations/137547305","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
137966718,"https://www.inaturalist.org/observations/137966718","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
138332593,"https://www.inaturalist.org/observations/138332593","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
138849171,"https://www.inaturalist.org/observations/138849171","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
159631800,"https://www.inaturalist.org/observations/159631800","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
160578005,"https://www.inaturalist.org/observations/160578005","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
163602118,"https://www.inaturalist.org/observations/163602118","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae",NA,NA
164951878,"https://www.inaturalist.org/observations/164951878","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
168994269,"https://www.inaturalist.org/observations/168994269","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
181381768,"https://www.inaturalist.org/observations/181381768","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
181932734,"https://www.inaturalist.org/observations/181932734","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
186344989,"https://www.inaturalist.org/observations/186344989","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
187015624,"https://www.inaturalist.org/observations/187015624","Grounded silver-haired, location appears next to tall building. Choosing to retain.. All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
188907910,"https://www.inaturalist.org/observations/188907910","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
189458565,"https://www.inaturalist.org/observations/189458565","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
202306087,"https://www.inaturalist.org/observations/202306087","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
207271375,"https://www.inaturalist.org/observations/207271375","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
211441977,"https://www.inaturalist.org/observations/211441977","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
221544560,"https://www.inaturalist.org/observations/221544560","Report of bat repeatedly knocking against window. All rights reserved license",NA,NA,NA,NA,NA,NA,"","NZL","Oceania"
223180348,"https://www.inaturalist.org/observations/223180348","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","CAN","North America"
228477522,"https://www.inaturalist.org/observations/228477522","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","GBR","Europe"
231060716,"https://www.inaturalist.org/observations/231060716","found on windowsill. All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","PRT","Europe"
